Text items,Labels
Trump’s Pentagon chief stuns reporters in 'incoherent briefing' and says: 'I cannot wait to leave',left
The ghost of Trumpism will haunt the GOP,left
President Donald Trump and his rabid supporters,left
"After all, just one week before Trump sent an angry, deluded mob, which he had summoned to gather on that day, to storm the U.S. Capitol and stop a joint session of Congress from certifying the Electoral College votes for Joe Biden.",left
"Only ten GOP House members defended their colleagues, their institution, the democratic process and the Constitution by voting to impeach Donald Trump for a second time.",left
As we've seen over the past five years of the Trump nightmare,left
I don't think anyone knows yet whether Trump will survive this or if Trumpism survives without Trump.,left
"Trump's dominated our political culture for five years, with his desperate need for attention and our compulsion to give it to him",left
"I have no doubt that ""Trumpism,"" if it's defined as the right-wing extremism that let fly at the U.S. Capitol last week, will continue to be a threat.",left
Trump is 'clueless' that he is about to be placed at 'rock-bottom' by presidential historians,left
"""We've never had a president of the United States foment a riot and insurrection and a potential takeover of another branch of government in the way that we saw with President Trump,""",left
Trump ends his presidency in disgrace,left
"""Donald Trump is leaving the White House with the lowest job approval of his presidency (29%) and increasingly negative ratings for his post-election conduct.",left
And 83% are in favor of the president being removed from office,left
"But Ivanka Trump and Jared Kushner, according to the Washington Post, have made things as difficult as possible for Secret Service agents when it comes to bathrooms they can use",left
'They're not even trying to stop us': New report exposes alleged communications of Capitol rioters,left
"Although Twitter and Facebook have been cracking down on some far-right users, extremists have found other ways to communicate",left
A Federal Domestic Terrorism Law Could Threaten Civil Rights Groups Like BLM,left
"In the wake of the insurrection on the nation’s Capitol, President-elect Joe Biden did not hesitate to refer to the far-right extremists who perpetrated the attack as domestic terrorists. ""They weren't protesters. Don't dare call them protesters. They were a riotous mob, insurrectionists, domestic terrorists,” Biden said. “It's that basic. It's that simple.”",left
"Patel said that he doubted a domestic terrorism law would push the FBI to focus on right-wing extremism. “That seems, to me, not a particularly compelling argument — because that's just saying it's a failure of will, as opposed to a failure of the law,” Patel said. “And I believe that our lack of action for many, many years on the threat of far-right violence has been a lack of political will.”",left
"Can America still promote democracy? Yes, and it should start with Ukraine",left
"But those foreign policy failures pale in comparison to the damage done by Trump in the four years that preceded last Wednesday's violence. The real estate mogul has often dressed down allies with the tone of an angry mafia boss, and he has either cheered on or turned a blind eye to the nefarious actions of our enemies -- neither of which has helped US global standing.",left
"So, after four years of Trump, the US stands weakened on every front, undoubtedly to the delight of all its adversaries and to the dismay of all its allies. Last Wednesday's violence added an exclamation point to the Trump era's message to the world: The US no longer lives by the values it has preached for decades.",left
"Since Trump was impeached for attempting to lure Ukraine into opening an investigation that would tarnish the reputation of Biden, his domestic political rival, Ukraine has been in crisis.",left
"Even on Russia's illegal annexation of Crimea, Trump has contradicted US policy. ",left
Trump Ignites a War Within the Church,left
"Biden has previously said that number is unacceptable and, on Friday, reiterated his pledge of 100 million shots within the first 100 days of his presidency. That would represent an increase from the current pace ― although, critically, the pace would have to quicken even more for the country to have any hope of achieving herd immunity some time in the summer.",left
